name,lat,lon,distance_to_coast_km
Rushikonda,17.7930699,83.3848672,0.5519346115162419
Ukkunagaram Township,17.6551095,83.1486506,9.222647725633653
Simhachalam,17.7726291,83.2433486,7.073847229894302
Childrens Theatre,17.720553,83.3192048,0.8727971688594723
Chrome,17.7199683,83.3196816,0.7906409139246805
Waltair Club,17.7199605,83.3171163,0.9414692169859021
Srinivasa Nagar,17.8276866,83.3555399,5.369943282000879
Pedagantyada,17.6640098,83.2149581,4.361011598941088
Gonthina Vani Palem,17.6765959,83.201799,6.293969002557515
Azeemabad,17.6778401,83.2138532,5.694981057496637
Sri Nagar,17.6824384,83.1892418,7.566376205690711
Pittalayyavanipalem,17.6941575,83.2291217,3.7254432264767288
Gajuwaka,17.6813983,83.2130062,5.830195996678398
MTC Palem,17.7021888,83.2952793,0.8292468395285526
Akkireddipalem,17.7091817,83.208027,5.7498651748703375
Nathayyapalem,17.7103596,83.2015569,6.4349043227260365
Pedda Waltair,17.7313942,83.3330434,1.1020266374679286
Srinivasa Nagar,17.7318084,83.2988143,2.7560985699980574
Ganesh Nagar,17.7332261,83.3075589,2.7302435786073573
Lalitha Nagar,17.7345008,83.3012039,3.1472796785176174
Sector 12,17.735096,83.3400493,0.3340463069928235
Maddilapalem,17.7352245,83.3209373,2.2415356396465618
Marripalem,17.7409149,83.2482755,3.605321989047616
Kailasapuram,17.7409348,83.2881627,3.2772941712604067
NAD Junction,17.7447607,83.2334046,4.857805806298916
Durga Nagar,17.7474488,83.3249726,2.217606990710182
Vishalakshi Nagar,17.7566367,83.3362195,1.6418418353656035
Pineapple Colony,17.7802655,83.2714,7.485751496201279
Rtc Colony,17.8122566,83.3706221,3.037938006213774
Srinivasa Nagar,17.812448,83.3655958,3.464531286397724
MVP Colony,17.7422648,83.3356865,0.9498109272062203
Chinna Gadhili,17.7599248,83.3162033,3.703592534746698
Jagalavanipalem,17.7553958,83.3446201,0.7845002796652235
Santapalem,17.7608883,83.308727,4.432571075572535
Tatagaruvu,17.7640713,83.3204924,3.498393694278067
Arilova,17.7675246,83.3138982,4.2932368652067066
Mudasarlova,17.7619696,83.3138743,4.034961686777396
Pedda Ghadhili,17.7578041,83.3229141,2.985067201261622
Kondapeta,17.9349168,83.4289468,4.643944560903626
Kottapeta,17.9314605,83.4312276,4.198189644059095
Santapeta,17.92801,83.4271525,4.249338012513873
Chakalipeta,17.9291428,83.4304405,4.072788903725971
Pendurti,17.810935,83.2070556,12.529476638371346
Chinna Gantyada,17.6811788,83.198121,6.930531254812738
Jogavanipalem,17.6907144,83.2042114,6.376355381805439
Turakalapalem,17.6831096,83.2037169,6.667177141589703
Sattivanipalem,17.6959696,83.1990579,6.797903664398115
Reddy Tungalam,17.7020021,83.1927455,7.3930240506608955
Vadlapudi,17.6933158,83.1876013,8.043450142882879
Tungalam,17.7051065,83.1910203,7.56534488493587
Jaggayyapalem,17.7172483,83.1985207,6.805738743462246
Eduruvanipalem,17.6987484,83.2238908,4.152761068732239
Nehrunagar,17.6868595,83.2304102,3.9095501672418163
Srirampuram,17.6917618,83.2353308,3.1999636987461817
Hindupuram,17.697046,83.2109191,5.538745714982995
Mindi,17.7019054,83.2123315,5.323212486101132
Aganampudi,17.6860122,83.1354763,12.063021185704109
Gnanapuram,17.7204005,83.2854974,0.98005824459396
Daba Gardens,17.7172349,83.2986494,1.7196111916004622
Dronam Raju (Relli) Colony,17.8133388,83.2087832,12.679434624508481
SCBC Colony,17.8119371,83.2041259,12.777996137163207
N.A.D.VUDA Layout,17.7975658,83.2069451,11.254338038817961
Chinnamushidiwada,17.8110119,83.2050171,12.641941656903075
Srinivas Nagar,17.7709617,83.2379673,7.0976134788241785
Sri Sai Nagar,17.7763335,83.2447639,7.424764484690147
Old Adavivaram,17.7772814,83.2500731,7.395141909724681
Apppannapalem,17.7700098,83.2225951,7.782999021971564
Simhapuri Colony,17.7779869,83.2264229,8.331307849548221
Shipyard Layout,17.777641,83.2345266,7.923550239699749
Sai Madhava Nagar,17.7722827,83.2192706,8.191138743707686
Viratnagar,17.7625069,83.2243414,6.995879862289802
Simhadri Nagar,17.759774,83.2226909,6.864427825456194
APHB Colony,17.8083939,83.3669381,3.072500459721459
Vambay Colony,17.8146938,83.3639053,3.7614143513609988
Dharampuri Colony,17.8014313,83.360911,3.167457559578089
Vasundhara Nagar,17.7963299,83.3586994,3.1228972714323917
Chanakyapuri Layout,17.796087,83.3563217,3.3485829686611064
Taraka Rama Nagar,17.7998964,83.3538029,3.754915229896679
Sundar Nagar,17.7973072,83.3577635,3.255591875845247
Bindra Nagar,17.8020396,83.3564601,3.6101772772112874
Midhilapuri VUDA Colony,17.8049549,83.3635608,3.1598503861631815
YSR Nagar,17.8276551,83.3660829,4.553941768086917
Carpenters Colony,17.8264812,83.3604684,4.9007946596677385
Kommadi Junction,17.8249016,83.3558155,5.142476753067711
AP Housing Board Apartments,17.8285836,83.3470394,6.12082622689623
Rajiv Gruha Kalpa Housing Complex,17.830686,83.3452292,6.41695778283449
R.H.Colony,17.8016881,83.3437449,4.702013961503984
Gayatri Nagar,17.8055642,83.348832,4.5071992049037615
SBI Colony,17.8056161,83.3466619,4.713155659764151
Priyadarshini Colony,17.8186929,83.3608873,4.289657974739175
Vikalangula Colony,17.8246551,83.358705,4.895134627738961
Sivasakthi Nagar,17.8248419,83.3694108,4.082822755653641
Ayodhyanagar,17.8207213,83.3689102,3.8213101534689793
Kala Nagar,17.8219426,83.3499705,5.4145959482312085
Gandhi Nagar,17.8244414,83.3463377,5.88870842488679
Sector 2,17.8281442,83.3509226,5.7708801024164265
Amaravati Nagar,17.8358699,83.3343272,7.674689808553018
Carshed Junction,17.8040739,83.3527158,4.0664631512042195
Kamala Nagar Colony,17.8508899,83.3586629,5.552804770379492
Venkojipalem,17.7476152,83.329138,1.8287460425606896
Hanumanthuwaka Junction,17.7549595,83.3323081,1.97210691732728
Hanumanthuwaka,17.7604124,83.330101,2.404045090999916
Kailasagiri,17.7499572,83.3396922,1.0494825426171885
Dwaraka Nagar,17.7285947,83.3092963,2.2027579544986295
Jagadamba Junction,17.7123784,83.3030038,1.0903065250816897
Purna Market,17.7088855,83.2967268,1.2468814959465038
Old Post Office Area,17.6942369,83.292072,0.4271672407975527
One Town,17.6973752,83.2940245,0.49694820941378043
Siripuram Junction,17.7231385,83.3179482,1.1864150171860417
Railway New Colony,17.724682,83.2932869,1.770894291609611
Thatichetlapalem,17.7357588,83.2924808,2.8300957998310334
Boyapalem,17.7315878,83.2842431,2.2008291433701923
Kancharapalem,17.7368418,83.2702758,2.6568238234199772
L.B Nagar,17.7395416,83.2726665,2.9642679146449527
Marripalem,17.7423799,83.2461159,3.8569522875375886
NAD Colony,17.7363584,83.2340851,4.149950741488703
Rural Gopalapatnam,17.7184519,83.2061062,6.028594420206203
Sheela Nagar,17.7196435,83.2010435,6.579198409361935
Auto Nagar,17.6911791,83.1867562,8.174841983653716
New Gajuwaka,17.6907692,83.2118695,5.587265988883287
Kunchamamba Colony,17.6878044,83.1943481,7.4676812045720276
Vinayaka Nagar,17.6750267,83.1972633,6.402400465243056
Kurmannapalem,17.6866692,83.1694567,9.291303774077258
Duvvada,17.7006884,83.1549844,11.39535476199087
Adavivaram,17.7821934,83.2659484,7.709060481396463
Mudsarlova,17.7634206,83.3028439,5.11326253520031
Arilova Colony,17.7691772,83.3077023,4.9665870816653195
Adarsh Nagar,17.7639789,83.3326463,2.363675428846394
Sagar Nagar,17.7664367,83.3567949,0.6390930434810558
Srinivasa Nagar,17.7789679,83.364605,1.4258134296475953
Pedda Rushikonda,17.8013229,83.3891224,0.787565135822233
Varahagiri Colony,17.9203573,83.4217572,4.2514536472816555
Akkayyapalem,17.7381861,83.2991551,3.372298072394716
Andhra Kesari Nagar,17.7448432,83.245017,4.152985166865525
Netaji Colony,17.7458785,83.2407785,4.482311000304533
Madhavadhara,17.747455,83.2592912,3.9628120070041586
Seethammadara,17.7433159,83.3063183,3.744765298119847
